RegionID,RegionName,SizeRank,X1996.04,X1996.05,X1996.06,X1996.07,X1996.08,X1996.09,X1996.10,X1996.11,X1996.12,X1997.01,X1997.02,X1997.03,X1997.04,X1997.05,X1997.06,X1997.07,X1997.08,X1997.09,X1997.10,X1997.11,X1997.12,X1998.01,X1998.02,X1998.03,X1998.04,X1998.05,X1998.06,X1998.07,X1998.08,X1998.09,X1998.10,X1998.11,X1998.12,X1999.01,X1999.02,X1999.03,X1999.04,X1999.05,X1999.06,X1999.07,X1999.08,X1999.09,X1999.10,X1999.11,X1999.12,X2000.01,X2000.02,X2000.03,X2000.04,X2000.05,X2000.06,X2000.07,X2000.08,X2000.09,X2000.10,X2000.11,X2000.12,X2001.01,X2001.02,X2001.03,X2001.04,X2001.05,X2001.06,X2001.07,X2001.08,X2001.09,X2001.10,X2001.11,X2001.12,X2002.01,X2002.02,X2002.03,X2002.04,X2002.05,X2002.06,X2002.07,X2002.08,X2002.09,X2002.10,X2002.11,X2002.12,X2003.01,X2003.02,X2003.03,X2003.04,X2003.05,X2003.06,X2003.07,X2003.08,X2003.09,X2003.10,X2003.11,X2003.12,X2004.01,X2004.02,X2004.03,X2004.04,X2004.05,X2004.06,X2004.07,X2004.08,X2004.09,X2004.10,X2004.11,X2004.12,X2005.01,X2005.02,X2005.03,X2005.04,X2005.05,X2005.06,X2005.07,X2005.08,X2005.09,X2005.10,X2005.11,X2005.12,X2006.01,X2006.02,X2006.03,X2006.04,X2006.05,X2006.06,X2006.07,X2006.08,X2006.09,X2006.10,X2006.11,X2006.12,X2007.01,X2007.02,X2007.03,X2007.04,X2007.05,X2007.06,X2007.07,X2007.08,X2007.09,X2007.10,X2007.11,X2007.12,X2008.01,X2008.02,X2008.03,X2008.04,X2008.05,X2008.06,X2008.07,X2008.08,X2008.09,X2008.10,X2008.11,X2008.12,X2009.01,X2009.02,X2009.03,X2009.04,X2009.05,X2009.06,X2009.07,X2009.08,X2009.09,X2009.10,X2009.11,X2009.12,X2010.01,X2010.02,X2010.03,X2010.04,X2010.05,X2010.06,X2010.07,X2010.08,X2010.09,X2010.10,X2010.11,X2010.12,X2011.01,X2011.02,X2011.03,X2011.04,X2011.05,X2011.06,X2011.07,X2011.08,X2011.09,X2011.10,X2011.11,X2011.12,X2012.01,X2012.02,X2012.03,X2012.04,X2012.05,X2012.06,X2012.07,X2012.08,X2012.09,X2012.10,X2012.11,X2012.12,X2013.01,X2013.02,X2013.03,X2013.04,X2013.05,X2013.06,X2013.07,X2013.08,X2013.09,X2013.10,X2013.11,X2013.12,X2014.01,X2014.02,X2014.03,X2014.04,X2014.05,X2014.06,X2014.07,X2014.08,X2014.09,X2014.10,X2014.11,X2014.12,X2015.01,X2015.02,X2015.03,X2015.04,X2015.05,X2015.06,X2015.07,X2015.08,X2015.09,X2015.10,X2015.11,X2015.12,X2016.01,X2016.02,X2016.03,X2016.04,X2016.05,X2016.06,X2016.07,X2016.08,X2016.09,X2016.10,X2016.11,X2016.12,X2017.01,X2017.02,X2017.03,X2017.04,X2017.05,X2017.06,X2017.07,X2017.08,X2017.09,X2017.10,X2017.11,X2017.12,X2018.01,X2018.02,X2018.03,X2018.04,X2018.05,X2018.06,X2018.07,X2018.08,X2018.09,X2018.10,X2018.11,X2018.12,X2019.01,X2019.02,X2019.03,X2019.04,X2019.05,X2019.06,X2019.07,X2019.08,X2019.09,X2019.10,X2019.11,X2019.12
394913,"New York, NY",1,189978,189489,188926,188493,188257,188269,188471,188860,189366,190035,190664,191273,191672,191986,192388,192850,193368,193875,194437,195411,196552,197730,198345,198691,198886,199212,199603,200108,200879,201942,203248,204596,206020,207128,208323,209459,210917,212445,214141,216261,218150,220089,221813,223942,226105,228218,230451,232690,234932,236927,239061,241452,243968,246579,249160,251848,254400,256741,259143,261348,263629,265691,267984,270358,273010,275810,278941,282020,284994,287845,290484,292904,295196,297514,300266,303445,307545,311970,316419,320543,324700,328699,332541,336456,339945,343380,346668,350386,354204,357866,361350,364747,368042,371591,374885,378256,381312,384968,389006,393788,398756,403967,409154,414132,418644,422713,426478,430159,434581,439289,444107,448803,453760,458974,464236,468889,473335,476849,480308,482747,484918,486584,488394,489771,490475,490366,489381,487836,485878,483901,482437,482166,481491,480793,478908,477130,475560,473772,472742,471301,469797,468150,466252,463758,460996,457038,453569,450036,447318,444373,441106,437479,434094,430235,426529,422794,419289,416359,413506,411087,408741,407189,406172,405585,405297,405224,405458,405104,404758,404093,404408,404725,405008,404382,402944,400991,398723,397203,395931,395075,393528,391965,389979,388316,386609,384939,383203,381146,379326,377665,376278,375237,374457,374228,374320,374397,374288,374021,373698,373677,373901,374293,375112,376106,377827,379786,381743,383545,385011,386520,388155,389751,391101,392773,394381,396216,397709,399221,400610,401485,402021,402327,402546,402650,403027,403561,404659,405581,407024,408271,409683,410497,410902,411246,411623,412669,413379,414077,414834,416146,418067,419815,421266,422302,423123,423977,424940,426072,427285,429180,431023,433503,435617,438727,441420,443961,445755,447253,448544,449745,451040,453139,455887,459215,462712,465604,467668,468317,468616,469163,470250,471437,472444,473238,474258,475593,477245,478580,479181,479056,478471,477668,476858,476286,476594
753899,"Los Angeles-Long Beach-Anaheim, CA",2,192573,191987,191614,191537,191661,191791,191754,191699,191724,192147,192015,192025,191719,191831,192102,192672,193788,195007,196023,196970,197860,200116,202538,204819,205915,206954,208226,209369,211004,212853,214728,216612,217847,219865,221497,223361,224564,225777,227943,230426,232258,233516,234762,236790,238558,240199,241685,243638,245802,248014,250437,253115,256031,258664,260855,263019,265026,266714,268395,270272,272768,275072,277505,280251,283265,286234,288911,291321,293601,295559,297792,300630,304224,308237,312719,318687,325009,331196,336320,341448,346139,350000,353347,357315,361838,367589,372355,379207,386571,395027,401430,407658,413385,420283,427681,436493,446692,459329,471999,483912,494058,504082,512981,518459,523631,528219,534964,542687,550885,559034,566837,576913,587769,598727,608500,614219,619545,623732,627993,632415,636373,641816,646062,648344,651239,650441,650607,648127,646323,644662,642760,641096,638905,635670,632856,627861,622484,614864,606854,599903,590988,582623,571097,559808,545288,531056,517985,506900,497718,491445,484136,475081,462767,453831,448920,445868,443036,440575,437336,435944,435745,437468,438985,442022,446224,447154,445625,445718,449012,453452,452626,450437,446435,443261,439283,434897,432720,431124,430821,428901,427292,422669,421465,420731,419299,415450,411330,410582,410463,409360,408362,407868,408985,410705,412778,416040,418655,421521,425378,429591,436059,442169,451753,461361,472088,480619,489256,496990,505146,511756,516574,521913,526779,531990,534113,534814,534283,534208,534165,535080,533588,532982,533136,536738,541208,546443,552152,556677,558776,560805,562757,563999,565131,566925,570942,574791,581709,586381,591624,593852,597647,600760,603236,603623,604608,606595,611050,615416,619571,625066,629429,633528,636004,639443,642811,643425,643549,644345,648462,655043,662140,667965,674022,679005,683965,685961,687935,686401,684640,682447,684613,686805,687943,688081,687534,686720,686965,687765,689167,687473,686945,688263,692730,695963,699792
394463,"Chicago, IL",3,161682,161489,161806,161875,162207,162800,163553,164282,164839,165313,165697,165905,165841,166173,166302,166457,163933,160884,155936,152270,149575,148810,148928,148837,148725,148605,148686,149367,150865,153043,155496,157738,159393,160305,160870,161225,161595,161801,162621,163821,165019,165979,166882,168059,169097,170317,171379,172288,172893,173443,174227,175316,176801,178504,180267,182075,183688,185011,185852,186568,187193,188009,188961,190115,191559,193216,195092,196854,198294,199323,200168,200994,201503,202086,202830,204236,205967,207843,209703,211273,212853,214107,215266,216027,216860,217423,218133,219067,220658,222656,224661,226557,228099,229606,230689,231518,232405,233371,234882,236508,238558,240561,242745,244980,247213,248995,250486,251630,252879,254135,255752,257581,259733,262251,264833,267201,269259,270891,272042,272906,273423,274043,274386,275055,275958,276991,277892,278676,279350,279974,280133,279792,278849,277622,276541,275721,275306,274667,274144,273652,272753,271590,268262,267269,263953,263224,259466,258280,255041,253357,250108,247508,243725,239267,235880,232303,230487,227750,225869,224157,222835,220744,219025,217323,216989,215873,215426,213642,214032,212964,213539,210949,209801,207351,205973,203225,200915,198616,196817,195553,193897,193074,191543,191158,190026,189142,186861,185579,183352,182260,180004,179907,179672,180239,180167,179377,178721,177877,178386,178888,179209,179901,180838,181876,183320,184691,186862,188508,190692,192300,194549,195418,196562,197064,198343,199106,199638,200423,201639,202478,202744,202980,203256,203569,203910,204191,204685,205733,207256,208481,208689,208609,208437,208305,208290,208335,209004,209890,211679,213303,214699,215558,216154,216704,217071,217277,217680,218431,219728,221409,223205,225246,226988,228222,228605,228468,228518,228795,229616,230477,231823,233371,234922,236098,237121,237936,238597,238681,238729,238899,239166,239525,239865,240375,241328,242334,243262,243731,243724,243447,243046,242640,242345,242145,242234
394974,"Philadelphia, PA",5,121226,120852,120633,120534,120489,120604,120867,121216,121557,121913,122120,122194,122131,122146,122226,122352,122479,122658,122891,123231,123640,124063,124350,124433,124324,124136,124001,123969,124170,124517,124989,125387,125801,126180,126551,126777,126940,127067,127276,127615,127942,128383,128827,129584,130450,131407,132273,132818,133246,133499,133879,134266,134757,135433,136210,136999,137738,138504,139295,139981,140544,140995,141557,142308,143220,144327,145393,146602,147553,148579,149459,150384,151283,152139,153227,154461,156192,158153,160149,161871,163588,165188,166686,167871,169138,170529,172186,174103,176251,178594,180737,182770,184431,186069,187526,189003,190575,192550,195014,197957,201271,204374,206967,209127,211441,213952,215958,217577,219165,221473,224366,227607,230898,234037,237059,239614,241918,243562,244990,246091,247407,248783,250314,251753,252931,253779,254297,254415,254234,253838,253586,253686,253844,254394,254714,255108,254911,254645,254448,254146,253586,252452,251848,251334,251091,250068,248746,247123,245580,243956,242319,240730,239143,237543,236370,235681,235279,234608,233807,232830,232091,231386,231228,231262,231255,231194,230940,230857,230915,231223,231464,231158,230193,228640,226834,224865,223235,221887,221013,220179,219122,217741,216232,214960,213975,212909,211848,210767,209898,208920,208058,207717,207769,207848,207527,207001,206473,206103,205781,205588,205392,205513,205759,206374,207161,208265,209354,210347,210932,211490,211860,212285,212447,212814,213306,213792,213869,214156,214506,214863,214639,214294,214081,214147,214342,214534,214847,215507,216384,217001,217301,217435,217614,217619,217455,217285,217176,217341,217807,218406,219237,219995,220942,221461,221870,222051,222532,223087,223987,225047,226095,227097,228071,229065,229772,230109,230450,230830,231636,232478,233488,234383,235717,237523,239413,240715,241350,241713,241942,242309,242655,243424,244272,245273,246180,247469,248593,249574,249890,250245,250480,250661,250817,251174,252007
395209,"Washington, DC",7,187950,187342,186822,186375,186253,186379,186881,187167,187302,187345,187435,187367,187045,186544,186308,186292,186444,186544,186782,187108,187287,187990,188576,189167,188934,188703,188558,188630,188933,189441,189949,190391,190864,191698,192652,193408,193741,194019,194586,195429,196371,197524,198827,200318,201583,202868,203808,204590,205067,205828,206891,208474,210400,212418,214602,216689,218940,220937,222610,224267,226022,228076,230313,232776,235532,238285,241031,243732,246286,248560,250542,252592,254834,257507,260641,264310,268383,272272,275892,278950,281827,284245,286971,289738,292648,295528,298881,302714,306763,310941,315209,319058,322391,325313,328895,332893,337715,343395,350301,358589,367079,375585,382278,387798,393038,399049,404746,410623,417586,426242,435109,443724,451494,459193,465771,470525,474484,477619,480868,484128,486694,488839,489785,490700,490884,489054,485837,482878,480795,478740,476542,474516,473426,471937,469152,465960,462729,460182,456308,451674,446023,440573,434642,428003,421245,413991,407689,401569,396166,390236,384624,379383,374900,369695,364666,360039,356619,354998,354061,353498,352517,351070,350098,349956,351127,352640,353057,353963,355342,357572,358149,357604,356246,355160,353878,351944,350421,349481,349893,350029,350409,349992,350083,349375,348750,347283,345994,345647,345614,345763,346223,347857,349811,351520,353051,354533,355566,356182,357444,359700,362400,365371,367934,370465,372912,375649,377907,380045,382023,384876,387446,390192,391903,393661,395523,397335,398889,399098,398783,398393,397688,397403,397216,397674,398236,398275,399329,400607,401578,401820,401604,401328,400608,400203,400559,401337,402596,403583,403930,404387,405809,407830,408947,409254,409114,409817,410709,412165,414185,416770,420048,422001,423457,423408,423844,423831,424527,425189,426681,428681,430177,431520,432882,435051,437300,439163,440348,440665,440389,440193,440647,441513,443355,445386,448140,450114,451548,451821,451827,451063,451126,451768,453616,455869,457778
394404,"Boston, MA",10,175345,175811,176629,177696,178994,179757,180597,181271,181964,182118,182026,182023,182372,183164,184357,185476,186789,187813,188917,189805,190982,192751,194461,196095,197111,198147,199497,201128,202928,205027,206785,208786,210076,212398,214709,217336,219374,221332,223554,226695,229236,231845,233733,235693,238047,240451,243469,245894,247750,249712,252133,255744,259897,264120,268137,272047,275927,279384,282370,285273,288052,290803,293957,297813,302088,306077,310238,314041,317267,319524,321417,323512,325430,327505,330048,333561,337682,342100,347611,352565,356927,359787,362736,365903,369049,372008,374651,376723,379162,381806,384850,387697,390217,392606,395080,397624,400009,402129,404417,407441,410780,414894,418760,422342,424652,426513,429325,432004,434738,436698,437469,438385,438602,440634,442165,443323,442601,441699,439907,438577,437005,435295,433302,430357,428067,425422,423197,420335,417918,416180,414961,414203,412744,411172,409193,407733,406615,405788,404496,402663,400447,397920,395161,392627,390016,387703,385363,383264,381421,379335,376813,374171,371329,368934,366540,363767,361564,360299,360179,360213,360206,360311,360638,361298,362651,364068,365604,366626,367551,367962,368039,367554,367033,365386,364012,362558,362317,361695,360296,358262,356977,355827,355480,354124,352964,351091,349345,347522,346283,345197,344953,345492,346698,347989,348712,349544,350142,350618,351779,353555,356025,357088,359733,363138,368112,371658,373824,375395,377364,380271,383010,385093,386757,388387,389622,391241,393595,395952,397752,398589,399127,398893,398247,398231,400046,403215,406668,409127,410189,411500,412683,414671,416012,416960,418169,419216,420218,422113,424435,427203,430363,433801,436433,437003,436967,438109,439284,441737,443691,445886,447612,449877,453298,456493,459522,462091,462803,463908,464746,467792,470201,473118,476058,480067,483665,486806,488836,489648,489826,489328,489721,490077,491423,492920,494363,494656,494888,494972,495717,495514,495600,496382,497229,498370,500140
395057,"San Francisco, CA",11,253357,252351,251864,252403,253566,255025,256279,257098,257958,259129,260471,261609,262473,264044,266081,269305,272414,275735,278187,280691,283300,286113,288586,290623,292451,294601,297553,301616,305595,309559,312434,314953,316598,318932,321165,323446,325067,327209,330246,333502,337433,341232,346646,351608,356977,362050,366771,371446,377705,386595,395183,403642,410704,419225,426563,433921,441268,447090,452483,458273,464601,469986,473316,476950,480636,484041,485431,486025,484891,483717,483166,484281,487430,491648,497909,505335,513152,519832,524079,527481,529770,532334,534811,537442,540225,541924,543668,546824,552438,558899,565234,570244,575219,581929,589445,599391,608117,617798,627187,638492,649507,661035,670749,680790,690253,700375,710953,721453,732741,744392,755150,764716,773916,783230,791389,795876,797436,797752,799568,802882,804227,802906,801149,800445,801616,800463,797305,794866,792917,793700,789592,786677,782663,779422,775299,772407,770759,768233,761493,753390,741101,732035,724548,718102,710913,701731,693037,683861,674094,663900,653117,641019,631145,617756,609339,602245,596650,590710,588466,587519,583480,577171,576663,581982,589848,595741,598460,599571,600195,602103,601912,599222,597602,593665,590464,585174,579845,575424,570345,567924,564370,559589,553539,551535,547729,546338,542224,540688,539018,536350,536194,537289,540819,546920,555856,563452,571652,577768,586645,596538,607165,621785,634590,650330,664017,680003,692188,702693,709403,716634,725021,736169,749609,759377,769162,772767,777450,776808,776474,775394,777410,781174,787552,796416,806398,814130,824339,835674,846731,854550,861865,868243,876920,887223,898451,906159,915916,929503,942641,946006,948673,949376,952165,945057,939679,935498,942388,949381,959868,966566,974728,981069,986899,992067,997719,1003533,1008263,1017687,1029316,1046572,1064539,1082256,1095105,1108573,1123493,1137190,1146362,1149408,1153687,1153610,1153572,1148971,1140124,1133116,1131192,1131480,1132769,1132293,1131053,1127898,1122672,1121012,1119867,1121949,1128296
394532,"Detroit, MI",12,102106,102731,103260,103761,104281,104919,105564,106324,107148,107912,108665,109374,110030,110484,110788,111337,112156,113239,114271,115285,116138,116836,117531,118171,118793,119165,119638,120186,120970,121858,122866,123780,124651,125444,126446,127377,128220,128809,129433,130160,131095,132138,133181,134197,135232,136275,137237,138222,139185,140056,140847,141924,143055,144154,145088,146268,147486,148572,149440,150143,150734,151176,151527,152018,152747,153689,154554,155324,156093,156876,157553,157974,158149,158067,158099,158196,158651,159152,159854,160532,161243,161849,162418,162616,162876,162968,163137,163234,163607,164261,165128,165928,166702,167366,167828,168226,168366,168466,168498,168746,169250,169897,170620,171236,171865,172428,172782,172977,173030,173056,172885,172768,173027,173610,174255,174748,175199,175581,175900,175863,175515,174817,174050,173343,172783,172312,171822,171287,170620,169657,168566,167225,166056,164536,163226,161888,160979,159699,158192,156715,155653,154471,152903,150594,147708,144387,141076,137682,134108,131118,129154,127394,124755,120768,116738,113030,110415,108325,106395,105157,103900,102944,101360,100093,98938,98622,97916,97448,96935,97000,97314,96992,96572,95741,95015,93952,92933,91790,90974,90246,89518,88788,87970,87445,87281,87432,87575,87552,87416,87271,87037,87412,87796,88683,89608,90942,91969,92629,93416,94201,94982,95661,96761,98243,99827,101549,103332,105434,107621,109748,111526,113019,114546,116144,117553,118688,119598,120546,121753,122836,123490,123548,123587,123873,124355,125025,125853,126884,127795,128537,129208,129790,130288,130384,130491,130721,131453,132319,133346,134107,135625,137147,138800,139857,140486,141109,141757,142401,142979,143891,145119,146644,148113,149924,151538,152458,153017,153418,153882,154494,155156,156632,158300,160337,162246,164021,165518,166371,166797,167191,167488,167906,168454,169269,170267,171088,171929,173210,174423,175207,175178,175026,174801,174772,174862
394865,"Minneapolis-St Paul, MN",16,120270,120076,120210,120615,121195,121893,122603,123358,123961,124517,125037,125522,125881,126150,126433,126941,127515,128294,129046,129804,130526,131320,131996,132462,132623,132893,133182,133849,134676,135978,137218,138414,139397,140460,141726,143016,144280,145407,146860,148220,149549,150680,152024,153751,155524,157022,158294,159220,160351,161342,162657,164232,166882,169394,171938,173743,175904,177750,179377,180950,182547,183890,185287,187005,189349,191972,194728,197146,198981,200258,201167,201939,202587,203779,204967,206625,208264,210252,212201,214140,216178,217920,219338,220477,221521,222683,223755,225246,226919,228965,230819,232752,234514,235945,237252,238279,239599,240880,242460,244100,245845,247813,249589,251067,252428,253976,255486,256299,257296,258354,259602,260634,261559,262968,264306,265837,266846,267317,267427,267127,267108,266908,267099,267004,267001,266743,266709,266471,266527,266398,266242,265340,264341,263084,262057,260761,259893,259029,258465,257213,255436,252863,249690,246446,243788,241794,240437,238801,236548,233962,231361,229006,226674,224098,221460,218212,215770,214512,214444,214634,214903,214869,214484,213824,213671,213557,213755,214075,214569,214971,214702,213916,212163,209795,207321,205304,202934,200764,198122,196412,194480,192863,191151,189559,188230,186957,185815,184543,183115,182044,181472,182080,183025,184221,185756,187329,189028,190590,192468,194324,196007,197746,198986,200376,201746,204490,207167,209842,211905,213806,215505,216825,217819,219210,221062,223865,226134,227735,228299,228285,227639,226646,225750,225345,225631,226183,228139,230322,232650,233792,234316,234752,234889,235185,235275,235870,236779,238470,240632,242963,244739,245543,246113,246802,247830,248439,249113,249918,251046,252366,254221,256795,259538,261879,263353,264245,264464,264648,264749,265663,267243,269665,272536,275605,278142,279794,280447,280728,281185,281609,282182,282814,283927,285547,287349,288863,290135,291114,291916,292172,292024,292232,292778,293776,295209
395056,"San Diego, CA",17,191020,190280,189755,189636,189756,190195,190709,190901,191079,191125,191171,190908,190636,190458,190554,191383,192914,194875,196392,197774,199566,201906,204142,205706,206974,208393,210589,213012,215781,218241,220629,222492,224374,225835,227382,228508,229905,231460,233426,236262,239164,241642,243874,246114,248632,251196,253739,256378,259017,261545,265574,270294,275674,280252,283855,287298,290221,292640,295838,299865,304890,308644,311566,314153,317365,320901,324177,327067,329022,330990,332981,335778,339207,343507,348571,355341,362879,370383,377391,383096,389365,393898,398353,402888,408018,413901,418827,426301,433294,442111,448920,455123,455728,460102,467540,478753,487712,496966,508266,519083,529281,540680,551570,558819,564096,566052,568553,574753,583044,591207,594018,596279,599377,602210,603429,602683,600904,600805,598741,598723,597738,599843,599321,597402,594164,591690,589384,587458,583464,579837,575603,568745,562678,556509,553122,548825,547228,543563,539438,532215,526118,517279,507293,497397,490704,482617,474456,464574,456092,445161,435962,426493,419614,412843,409059,407646,402827,400667,394473,394869,392658,395510,396801,401478,404572,407165,407858,410286,415013,416276,415867,413161,411515,408665,403973,399964,398089,396427,394719,391770,390724,389485,388778,387067,383188,379648,376697,375910,374213,374871,375737,377528,377752,379453,382741,385801,388453,390609,393958,397948,405951,412629,419029,425501,433346,441279,450036,459203,467648,471101,472752,475404,479353,486632,494939,495786,494053,490080,490116,490778,487438,487120,487046,492194,495092,496454,498000,503796,508113,512154,512060,510977,510979,512665,516675,520821,527302,537056,541370,540955,540567,541972,545079,542531,543581,545411,551184,555193,559579,561525,566371,571540,577602,583206,586667,586899,585609,586545,591169,595262,600623,608708,616689,621019,620469,618909,619404,619204,619682,618138,619250,620228,621194,619390,619059,619422,622965,624855,627644,629235,629621,628193,628406,631314,635656
